Date,LogReturn,Open,High,Low,Close,Volume,MarketCap,FearAndGreed,VDD,CBBI,GoldClose,DaysSinceHalving,S&P500,M2SL,InflationUSA,DXY,VIX of VIX,HashRate,MA5,MA20
"2024-12-13,""0,01394"",""100046,6505"",""101888,8084"",""99233,27805"",""101459,2544"",56894751583,2008423637064,83,""0,65895"",""78,11"",""2647,72"",237,""6051,09"",""21447,6"",""2,3"",107,""96,5"",""878 198 000 000 000 000 000,00"",""99356,68795"",""97344,24276"""
"2024-12-12,""-0,01114"",""101167,807"",""102524,9103"",""99339,94993"",""100042,9979"",72073983533,1980440555379,76,""0,65977"",""78,16"",""2680,865"",236,""6051,25"",""21447,6"",""2,3"",""106,96"",""99,43"",""764 549 000 000 000 000 000,00"",""99312,0397"",""97224,99444"""
"2024-12-11,""0,04562"",""96656,06162"",""101913,3625"",""95747,22887"",""101173,0326"",85391409936,2002682634623,83,""0,66092"",""77,97"",""2718,13"",235,""6084,19"",""21447,6"",""2,3"",""106,71"",""98,12"",""733 554 000 000 000 000 000,00"",""99288,10744"",""97110,50125"""
"2024-12-10,""-0,00809"",""97441,23447"",""98270,15277"",""94321,25879"",""96675,43354"",104823780634,1913235117589,74,""0,66209"",""79,31"",""2693,945"",234,""6034,91"",""21447,6"",""2,3"",""106,4"",""94,35"",""795 544 000 000 000 000 000,00"",""99037,64386"",""97206,77988"""
"2024-12-09,""-0,03822"",""101237,0615"",""101272,5042"",""94355,91104"",""97432,72126"",110676473908,""1,93E+12"",78,""0,66427"",""78,7"",""2660,395"",233,""6052,85"",""21447,6"",""2,3"",""106,14"",""93,84"",""862 701 000 000 000 000 000,00"",""99021,2716"",""97043,9785"""
"2024-12-08,""0,01308"",""99921,9168"",""101399,9887"",""98771,51417"",""101236,0131"",44125751925,2003538950158,78,""0,66758"",""78,11"",""2631,985"",232,""6090,27"",""21447,6"",""2,3"",""106,06"",""87,38"",""754 217 000 000 000 000 000,00"",""99288,43286"",""96575,96687"""
"2024-12-07,""0,00005"",""99916,71446"",""100563,3798"",""99030,88649"",""99923,33662"",44177510897,1977521445640,79,""0,6718"",""78,16"",""2631,985"",231,""6090,27"",""21447,6"",""2,3"",""106,06"",""87,38"",""733 554 000 000 000 000 000,00"",""98241,66266"",""96082,2462"""
"2024-12-06,""0,02886"",""97074,22483"",""102039,8818"",""96514,87608"",""99920,71473"",94534772658,1977630964721,75,""0,67599"",""77,98"",""2631,985"",230,""6090,27"",""21447,6"",""2,3"",""106,06"",""87,38"",""702 559 000 000 000 000 000,00"",""97430,05567"",""95551,99023"""
"2024-12-05,""-0,01703"",""98741,53938"",""103900,4721"",""91998,7817"",""96593,57227"",149218945580,1911777565577,72,""0,68028"",""79,32"",""2631,985"",229,""6075,11"",""21447,6"",""2,3"",""105,71"",""86,95"",""800 710 000 000 000 000 000,00"",""96901,87131"",""95234,35354"""
"2024-12-04,""0,02828"",""95988,52871"",""99207,32507"",""94660,52325"",""98768,52756"",77199817112,1954156097012,84,""0,68552"",""78,7"",""2650,095"",228,""6086,49"",""21447,6"",""2,3"",""106,32"",""86,48"",""759 383 000 000 000 000 000,00"",""96872,96801"",""94828,95772"""
